time,price,volume,match_type,id
2024-08-16 09:20:39,72500.0,100,ATO/ATC,231994836
2024-08-16 10:01:10,72400.0,100,Buy,232055488
2024-08-16 10:03:07,72400.0,200,Buy,232058547
2024-08-16 10:18:04,72000.0,100,Sell,232090374
2024-08-16 10:18:14,71900.0,200,Sell,232090877
2024-08-16 10:19:09,71600.0,200,Sell,232094692
2024-08-16 10:19:26,71600.0,100,Buy,232095692
2024-08-16 10:19:33,71600.0,100,Buy,232096146
2024-08-16 10:19:37,71600.0,200,Buy,232096370
2024-08-16 10:19:37,71600.0,100,Buy,232096450
2024-08-16 10:20:23,71600.0,100,Buy,232099722
2024-08-16 10:20:43,71600.0,200,Buy,232100992
2024-08-16 10:21:13,71600.0,100,Buy,232102858
2024-08-16 10:21:15,71600.0,200,Buy,232103027
2024-08-16 10:21:24,71600.0,400,Buy,232103836
2024-08-16 10:26:40,72400.0,500,Buy,232127393
2024-08-16 10:27:30,72400.0,100,Buy,232130673
2024-08-16 10:31:29,72400.0,200,Buy,232145024
2024-08-16 10:34:33,72400.0,100,Buy,232154431
2024-08-16 10:35:59,72400.0,300,Sell,232158120
2024-08-16 10:38:18,72400.0,300,Buy,232162897
2024-08-16 10:44:23,72400.0,100,Buy,232173129
2024-08-16 10:54:59,72300.0,200,ATO/ATC,232195690
2024-08-16 10:57:11,72000.0,500,ATO/ATC,232203463
2024-08-16 10:57:30,71900.0,500,ATO/ATC,232204803
2024-08-16 10:59:19,71900.0,1000,Sell,232210499
2024-08-16 11:03:22,72000.0,500,Sell,232223317
2024-08-16 11:06:32,72100.0,200,Sell,232230561
2024-08-16 11:07:40,72100.0,100,Buy,232233102
2024-08-16 11:09:40,72300.0,200,ATO/ATC,232237072
2024-08-16 11:11:37,72400.0,200,Buy,232240705
2024-08-16 11:11:42,72400.0,100,Buy,232240908
2024-08-16 11:12:01,72400.0,100,Buy,232241443
2024-08-16 11:12:11,72400.0,200,Buy,232241731
2024-08-16 11:12:55,72400.0,100,Buy,232243083
2024-08-16 11:22:41,72400.0,100,ATO/ATC,232259005
2024-08-16 11:25:12,72500.0,100,Buy,232262534
2024-08-16 13:04:02,72500.0,100,Buy,232285229
2024-08-16 13:07:32,72300.0,100,Sell,232295772
2024-08-16 13:07:39,72500.0,1300,Buy,232296068
2024-08-16 13:18:26,72700.0,100,Sell,232332748
2024-08-16 13:22:32,72800.0,100,Sell,232344810
2024-08-16 13:23:04,73000.0,500,Buy,232346339
2024-08-16 13:23:28,73000.0,500,ATO/ATC,232347527
2024-08-16 13:25:16,73000.0,400,Buy,232352319
2024-08-16 13:25:30,73000.0,100,Buy,232352967
2024-08-16 13:28:37,73000.0,100,Buy,232360449
2024-08-16 13:29:22,73000.0,200,Buy,232362623
2024-08-16 13:31:23,73000.0,200,Buy,232368371
2024-08-16 13:33:17,73000.0,500,Buy,232373912
2024-08-16 13:35:17,73000.0,500,Buy,232379053
2024-08-16 13:35:55,73000.0,200,Buy,232380691
2024-08-16 13:39:17,72900.0,300,Sell,232388177
2024-08-16 13:39:20,73000.0,100,Buy,232388364
2024-08-16 13:40:03,73000.0,100,Buy,232390220
2024-08-16 13:40:16,73000.0,400,Buy,232390784
2024-08-16 13:40:58,73000.0,500,Buy,232392683
2024-08-16 13:41:30,72900.0,200,Sell,232394028
2024-08-16 13:41:40,72800.0,500,Sell,232394394
2024-08-16 13:41:54,72700.0,300,Sell,232394952
2024-08-16 13:42:10,73000.0,1000,Buy,232395508
2024-08-16 13:43:56,73000.0,300,Buy,232399745
2024-08-16 13:48:37,73000.0,100,Buy,232410314
2024-08-16 13:59:26,73000.0,400,Buy,232436803
2024-08-16 14:00:54,73000.0,200,Buy,232440338
2024-08-16 14:01:04,73000.0,100,Buy,232440747
2024-08-16 14:04:07,73000.0,600,Buy,232447230
2024-08-16 14:06:11,73000.0,2100,Buy,232451679
2024-08-16 14:06:16,73000.0,200,Buy,232451812
2024-08-16 14:07:32,72900.0,200,Buy,232454557
2024-08-16 14:08:34,72900.0,100,Buy,232456501
2024-08-16 14:09:32,72800.0,500,Sell,232458500
2024-08-16 14:10:21,72900.0,500,Buy,232460101
2024-08-16 14:10:30,72700.0,200,Sell,232460352
2024-08-16 14:13:07,72700.0,300,ATO/ATC,232465515
2024-08-16 14:14:41,72500.0,3100,ATO/ATC,232468660
2024-08-16 14:16:10,72500.0,200,Buy,232471718
2024-08-16 14:16:31,72300.0,1200,Sell,232472332
2024-08-16 14:16:46,72200.0,2800,Buy,232472764
2024-08-16 14:17:10,72000.0,1800,Sell,232473724
2024-08-16 14:17:41,72000.0,1800,Buy,232474803
2024-08-16 14:17:56,72000.0,300,Sell,232475207
2024-08-16 14:18:34,72100.0,400,Sell,232476546
2024-08-16 14:21:05,72100.0,500,Sell,232482644
2024-08-16 14:26:39,72100.0,400,Sell,232495101
2024-08-16 14:50:49,72500.0,200,ATO/ATC,232506347
2024-08-16 14:53:20,72500.0,100,Buy,232506515
2024-08-16 14:53:26,72500.0,100,Buy,232506520
2024-08-16 14:57:04,72600.0,300,Buy,232506786
2024-08-16 14:57:47,72600.0,100,Buy,232506850
2024-08-16 14:58:17,72600.0,200,Buy,232506891
2024-08-16 14:58:41,72600.0,100,Buy,232506937
2024-08-16 14:58:51,72600.0,300,Buy,232506959
2024-08-16 14:59:13,72700.0,100,Buy,232507013
2024-08-16 14:59:35,72700.0,100,Buy,232507086
